id,name,introduction,code_list,url,img_url
cnn_rosemary-church-profile,Rosemary Church,Rosemary Church is an award-winning journalist for CNN International with more than 30 years of experience covering major global events. ,"[{'code_type': 'facebook', 'code_content': 'https://facebook.com/RosemaryChurchCNN'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/@rosemaryCNN'}]",https://us.cnn.com/profiles/rosemary-church-profile,https://cdn.cnn.com/cnnnext/dam/assets/140929113825-rosemary-church-profile-image-large-169.jpg
cnn_robyn-curnow-profile,Robyn Curnow,Robyn Curnow is a CNN anchor and host of CNN International's ,"[{'code_type': 'twitter', 'code_content': 'https://twitter.com/RobynCurnowCNN'}, {'code_type': 'www.instagram', 'code_content': 'https://www.instagram.com/robyncurnowcnn'}]",https://us.cnn.com/profiles/robyn-curnow-profile,https://cdn.cnn.com/cnnnext/dam/assets/201218174602-robyn-curnow-profile-pic-large-169.jpg
cnn_anderson-cooper-profile,Anderson Cooper,"Anderson Cooper is the anchor of CNN's Anderson Cooper 360°, a global newscast that goes beyond the headlines with in-depth reporting and investigations. ","[{'code_type': 'facebook', 'code_content': 'https://facebook.com/andersoncooper'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/andersoncooper'}, {'code_type': 'www.instagram', 'code_content': 'https://www.instagram.com/andersoncooper'}]",https://us.cnn.com/profiles/anderson-cooper-profile,https://cdn.cnn.com/cnnnext/dam/assets/140225123034-anderson-cooper-profile-large-169.jpg
cnn_julia-chatterley-profile,Julia Chatterley,Julia Chatterley is an anchor and correspondent for CNN International based in New York. She anchors ,"[{'code_type': 'twitter', 'code_content': 'https://twitter.com/jchatterleyCNN'}]",https://us.cnn.com/profiles/julia-chatterley-profile,https://cdn.cnn.com/cnnnext/dam/assets/180913093417-julia-chatterley-profile-photo-large-169.jpg
cnn_erin-burnett-profile,Erin Burnett,"Erin Burnett is anchor of Erin Burnett OutFront, a dynamic nightly news program that provides in-depth analysis and compelling newsmaker interviews. Erin Burnett OutFront airs weeknights at 7pm ET on CNN and is simulcast on CNN International. Burnett also serves as CNN Chief Business and Economics Correspondent.","[{'code_type': 'facebook', 'code_content': 'https://facebook.com/OutFrontCNN'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/ErinBurnett'}, {'code_type': 'www.instagram', 'code_content': 'https://www.instagram.com/erinburnettoutfront'}]",https://us.cnn.com/profiles/erin-burnett-profile,https://cdn.cnn.com/cnnnext/dam/assets/140225141253-erin-burnett-profile-large-169.jpg
cnn_ana-cabrera-profile,Ana Cabrera,Ana Cabrera is based in New York and anchors the 1pm weekday edition of CNN Newsroom.,"[{'code_type': 'facebook', 'code_content': 'https://facebook.com/AnaCabreraNEWS'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/AnaCabrera'}]",https://us.cnn.com/profiles/ana-cabrera-profile,https://cdn.cnn.com/cnnnext/dam/assets/170719105101-ana-cabrera-headshot-072017-large-169.jpg
cnn_kim-brunhuber-profile,Kim Brunhuber,Kim Brunhuber is an anchor for CNN International in Atlanta. ,"[{'code_type': 'twitter', 'code_content': 'https://twitter.com/kimbrunhuber'}]",https://us.cnn.com/profiles/kim-brunhuber-profile,https://cdn.cnn.com/cnnnext/dam/assets/150212224154-anchor-background-large-169.jpg
cnn_kate-bolduan-profile,Kate Bolduan,"Kate Bolduan is anchor and host of CNN's ""At This Hour"" and ""5 Things"" on CNN+.","[{'code_type': 'facebook', 'code_content': 'https://facebook.com/KateBolduan'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/KateBolduan'}, {'code_type': 'www.instagram', 'code_content': 'https://www.instagram.com/katebolduan'}]",https://us.cnn.com/profiles/kate-bolduan-profile,https://cdn.cnn.com/cnnnext/dam/assets/200521184539-kate-bolduan-headshot-large-169.jpg
cnn_s-e-cupp-profile,S.E. Cupp,S.E. Cupp is a CNN political commentator and practical conservative with a searing honesty who brings her distinct outlook to CNN programming and special political coverage.,"[{'code_type': 'facebook', 'code_content': 'https://facebook.com/secupp'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/secupp'}, {'code_type': 'www.instagram', 'code_content': 'https://www.instagram.com/secupp'}]",https://us.cnn.com/profiles/s-e-cupp-profile,https://cdn.cnn.com/cnnnext/dam/assets/140225123944-s-e-cupp-profile-large-169.jpg
cnn_david-axelrod,David Axelrod,"David Axelrod, a former senior advisor to President Obama, is director of the University of Chicago's Institute of Politics and host of The Axe Files podcast  ",[],https://us.cnn.com/profiles/david-axelrod,https://cdn.cnn.com/cnnnext/dam/assets/160307120547-david-axelrod-large-169.jpg
